date	hour	foreignExchangeBuy	foreignExchangeSale	moneyBuy	moneySale
2010-07-15	12:16	2.9577	3.1456	2.9456	3.1577	
2010-07-15	08:46	2.9439	3.131	2.9319	3.1431	
2010-07-15	08:58	2.9577	3.1456	2.9456	3.1577	
2010-08-16	12:20	2.9157	3.101	2.9038	3.113	
2010-08-16	08:27	2.9157	3.101	2.9038	3.113	
2010-09-15	08:41	2.9466	3.1338	2.9345	3.1459	
2010-09-15	11:52	2.9466	3.1338	2.9345	3.1459	
2010-10-15	12:07	2.8377	3.018	2.8261	3.0296	
2010-10-15	08:44	2.8377	3.018	2.8261	3.0296	
2010-11-15	08:40	2.8612	3.043	2.8495	3.0547	
2010-11-15	12:39	2.8612	3.043	2.8495	3.0547	
2010-12-15	08:42	3.0274	3.2198	3.015	3.2322	
2010-12-15	15:19	3.0274	3.2198	3.015	3.2322	
2011-01-17	12:09	2.9309	3.1172	2.9189	3.1292	
2011-01-17	08:37	2.9309	3.1172	2.9189	3.1292	
2011-02-15	12:04	2.9427	3.1297	2.9306	3.1417	
2011-02-15	08:39	2.9427	3.1297	2.9306	3.1417	
2011-03-15	08:44	3.0832	3.2791	3.0706	3.2918	
2011-03-15	13:20	3.0832	3.2791	3.0706	3.2918	
2011-04-15	08:33	2.9781	3.1674	2.9659	3.1796	
2011-04-15	13:04	2.9781	3.1674	2.9659	3.1796	
2011-05-16	14:37	3.0437	3.2372	3.0313	3.2496	
2011-05-16	08:46	3.0437	3.2372	3.0313	3.2496	
2011-06-15	13:04	3.1693	3.3707	3.1563	3.3837	
2011-06-15	13:06	3.1693	3.3707	3.1563	3.3837	
2011-06-15	08:27	3.1449	3.3447	3.132	3.3576	
2011-06-20	13:37	3.2171	3.4215	3.2039	3.4347	
2011-06-20	08:22	3.2171	3.4215	3.2039	3.4347	
2011-06-21	13:26	3.2107	3.4147	3.1975	3.4278	
2011-06-21	08:16	3.2107	3.4147	3.1975	3.4278	
2011-07-15	13:15	3.403	3.6193	3.3891	3.6332	
2011-07-15	08:21	3.403	3.6193	3.3891	3.6332	
2011-07-18	13:29	3.4218	3.6393	3.4078	3.6533	
2011-07-18	08:08	3.4332	3.6514	3.4191	3.6654	
2011-07-18	09:56	3.4218	3.6393	3.4078	3.6533	
2011-08-16	15:47	3.5827	3.8104	3.568	3.8251	
2011-08-16	08:01	3.5827	3.8104	3.568	3.8251	
2011-09-15	15:17	3.4891	3.7108	3.4748	3.7251	
2011-09-15	08:57	3.5501	3.7757	3.5356	3.7903	
2011-09-15	12:24	3.5501	3.7757	3.5356	3.7903	
2011-09-23	13:19	3.5988	3.8274	3.584	3.8422	
2011-09-23	08:23	3.5988	3.8274	3.584	3.8422	
2011-09-23	16:00	3.5197	3.7434	3.5053	3.7578	
2011-10-17	08:16	3.3878	3.6031	3.374	3.617	
2011-10-17	13:37	3.3878	3.6031	3.374	3.617	
2011-11-15	12:52	3.4709	3.6914	3.4567	3.7057	
2011-11-15	13:04	3.4709	3.6914	3.4567	3.7057	
2011-11-15	09:34	3.4709	3.6914	3.4567	3.7057	
2011-12-15	12:53	3.5909	3.8191	3.5762	3.8338	
2011-12-15	08:07	3.5909	3.8191	3.5762	3.8338	
2012-01-16	12:27	3.5681	3.7949	3.5535	3.8095	
2012-01-16	08:11	3.5681	3.7949	3.5535	3.8095	
2012-02-08	08:10	3.3525	3.5655	3.3388	3.5793	
2012-02-08	14:55	3.3525	3.5655	3.3388	3.5793	
2012-02-15	15:43	3.3716	3.5859	3.3578	3.5997	
2012-02-15	08:17	3.3716	3.5859	3.3578	3.5997	
2012-03-15	09:57	3.337	3.5491	3.3233	3.5627	
2012-03-15	12:50	3.337	3.5491	3.3233	3.5627	
2012-04-16	08:07	3.4303	3.6452	3.415	3.6592	
2012-04-16	13:33	3.4303	3.6452	3.415	3.6592	
2012-05-15	08:12	3.5319	3.7531	3.5161	3.7675	
2012-05-15	12:28	3.5319	3.7531	3.5161	3.7675	
2012-06-06	08:16	3.582	3.8064	3.566	3.821	
2012-06-06	12:51	3.582	3.8064	3.566	3.821	
2012-06-15	12:19	3.5147	3.7349	3.499	3.7492	
2012-06-15	09:07	3.5147	3.7349	3.499	3.7492	
2012-07-16	12:16	3.4073	3.6238	3.3933	3.6378	
2012-07-16	09:01	3.4073	3.6238	3.3933	3.6378	
2012-08-16	08:07	3.3172	3.528	3.3036	3.5416	
2012-08-16	13:30	3.3172	3.528	3.3036	3.5416	
2012-09-17	08:09	3.2618	3.4691	3.2484	3.4825	
2012-09-17	12:16	3.2618	3.4691	3.2484	3.4825	
2012-10-15	09:02	3.329	3.5407	3.3091	3.5607	
2012-10-15	08:17	3.3456	3.5584	3.3256	3.5784	
2012-11-15	12:39	3.4211	3.638	3.4006	3.6592	
2012-11-15	07:48	3.4211	3.638	3.4006	3.6592	
2012-12-17	08:23	3.3313	3.5424	3.3113	3.563	
2012-12-17	12:12	3.3313	3.5424	3.3113	3.563	
