Data	Otwarcie	Max	Min	Zamkniêcie
2009-04-21	2.9096	2.9392	2.9042	2.9171
2009-04-22	2.9171	2.9927	2.8952	2.9821
2009-04-23	2.9819	3.0125	2.9557	3.0125
2009-04-25	2.9817	2.9898	2.9747	2.9839
2009-04-26	2.9841	3.0521	2.9797	3.0210
2009-04-27	3.0210	3.0438	2.9688	2.9783
2009-04-28	2.9783	2.9789	2.8909	2.9122
2009-04-29	2.9122	2.9483	2.8850	2.9483
2009-04-30	2.9252	2.9252	2.8940	2.8940
2009-05-02	2.9101	2.9140	2.9031	2.9039
2009-05-03	2.9040	2.9244	2.8675	2.8721
2009-05-04	2.8721	2.8949	2.8639	2.8895
2009-05-05	2.8895	2.9261	2.8877	2.8941
2009-05-06	2.8941	2.9009	2.8310	2.8858
2009-05-07	2.8859	2.9004	2.8672	2.9004
2009-05-09	2.8903	2.8914	2.8780	2.8793
2009-05-10	2.8792	2.9278	2.8629	2.9082
2009-05-11	2.9082	2.9360	2.9017	2.9087
2009-05-12	2.9087	2.9687	2.8963	2.9573
2009-05-13	2.9572	2.9929	2.9473	2.9678
2009-05-14	2.9676	2.9929	2.9455	2.9455
2009-05-16	2.9474	2.9510	2.9423	2.9510
2009-05-17	2.9509	2.9689	2.9119	2.9227
2009-05-18	2.9227	2.9241	2.8737	2.8810
2009-05-19	2.8808	2.8968	2.8451	2.8631
2009-05-20	2.8628	2.9092	2.8567	2.8846
2009-05-21	2.8843	2.9072	2.8690	2.8814
2009-05-23	2.8814	2.8984	2.8814	2.8918
2009-05-24	2.8918	2.9159	2.8804	2.9003
2009-05-25	2.9000	2.9397	2.8860	2.9119
2009-05-26	2.9125	2.9449	2.8978	2.9381
2009-05-27	2.9381	3.0115	2.9312	2.9897
2009-05-28	2.9897	2.9987	2.9349	2.9349
2009-05-30	2.9798	2.9873	2.9726	2.9839
2009-05-31	2.9840	2.9903	2.9207	2.9339
2009-06-01	2.9339	2.9708	2.9282	2.9413
2009-06-02	2.9414	2.9998	2.9209	2.9836
2009-06-03	2.9835	3.0030	2.9587	2.9717
2009-06-04	2.9675	3.0142	2.9568	3.0142
2009-06-06	2.9844	2.9941	2.9791	2.9876
2009-06-07	2.9876	3.0116	2.9687	2.9717
2009-06-08	2.9715	2.9799	2.9425	2.9480
2009-06-10	2.9658	2.9714	2.9443	2.9566
2009-06-11	2.9562	2.9699	2.9418	2.9699
2009-06-13	2.9534	2.9614	2.9466	2.9565
2009-06-14	2.9565	3.0157	2.9485	3.0046
2009-06-15	3.0041	3.0211	2.9892	3.0027
2009-06-16	2.9995	3.0159	2.9789	3.0042
2009-06-17	3.0042	3.0442	2.9839	2.9927
2009-06-18	2.9947	3.0126	2.9711	3.0046
2009-06-20	2.9963	3.0056	2.9903	2.9968
2009-06-21	2.9968	3.0166	2.9755	3.0121
2009-06-22	3.0121	3.0361	3.0074	3.0265
2009-06-23	3.0265	3.0347	2.9349	2.9601
2009-06-24	2.9587	2.9667	2.9303	2.9374
2009-06-25	2.9354	2.9602	2.9237	2.9497
2009-06-27	2.9538	2.9596	2.9496	2.9519
2009-06-28	2.9519	2.9658	2.9341	2.9383
2009-06-29	2.9373	2.9524	2.9072	2.9174
2009-06-30	2.9174	2.9261	2.8524	2.8531
